Mcg, Alm, Mit, Pox, Vac, Class
3,4,45,0,48,1
38,39,19,0,46,0
47,58,19,0,57,0
5,44,2,0,49,0
41,46,23,0,5,0
46,46,54,0,51,0
52,58,69,0,5,0
41,5,14,0,53,0
25,52,15,0,56,0
58,38,39,0,54,0
39,47,18,0,48,0
38,47,18,0,44,0
63,5,48,0,51,0
51,62,25,0,59,0
59,54,19,0,48,0
6,54,11,0,46,0
48,57,17,0,45,0
71,5,18,0,46,0
61,54,25,0,5,0
38,64,41,0,44,0
38,66,35,0,43,0
81,43,17,0,53,0
47,61,4,0,48,0
67,36,19,0,56,0
65,54,13,0,53,0
58,47,13,0,48,0
43,48,27,0,53,0
43,54,21,0,53,0
6,52,46,0,53,0
57,6,18,0,51,0
63,57,24,0,49,0
8,36,39,0,56,0
74,47,34,0,42,0
72,45,3,0,54,0
4,57,18,0,56,0
86,51,4,0,55,0
79,41,28,0,59,0
37,56,18,0,48,0
45,48,67,0,52,0
41,59,19,0,58,0
54,44,8,0,52,0
81,47,37,0,56,0
49,56,55,0,42,0
63,54,4,0,5,0
5,46,46,0,46,0
67,4,43,83,5,0
42,52,41,0,53,0
33,64,16,0,52,0
61,39,33,0,58,0
42,54,18,0,56,0
55,55,46,0,52,0
67,54,43,0,53,0
35,54,16,0,51,0
48,5,17,0,53,0
42,56,1,0,49,0
49,53,16,0,48,0
71,48,43,0,59,0
4,71,21,0,54,0
42,5,12,0,52,0
48,61,23,0,6,0
32,5,15,0,53,0
59,52,28,0,55,0
61,31,33,0,56,0
52,54,53,0,45,0
58,58,49,0,49,0
46,38,33,0,48,0
42,62,12,0,4,0
49,45,45,0,52,0
35,49,21,0,54,0
52,6,12,0,55,0
77,58,23,0,48,0
78,58,25,0,53,0
57,59,24,0,4,0
38,75,17,0,55,0
38,75,17,0,55,0
4,48,14,0,47,0
45,57,36,0,52,0
36,38,8,0,53,0
27,6,33,0,37,0
23,53,2,0,44,0
36,49,16,0,51,0
38,59,22,0,46,0
41,54,26,0,41,0
5,52,9,0,48,0
46,49,79,0,49,0
61,59,12,0,49,0
45,54,32,0,57,0
71,39,27,0,52,0
63,41,22,0,51,1
58,38,18,0,52,1
32,55,12,0,52,0
77,51,4,0,54,0
81,41,36,0,39,0
69,51,13,83,52,0
74,47,25,0,57,0
35,36,3,0,53,1
51,54,29,0,53,0
5,48,17,0,47,0
45,52,2,0,5,0
42,47,13,0,5,0
27,47,35,0,49,0
49,34,13,0,52,1
49,54,17,0,5,0
34,51,16,0,47,0
74,5,8,0,55,0
69,38,15,0,55,0
44,48,38,0,52,0
58,48,24,0,52,0
38,61,13,0,54,0
47,63,17,0,31,0
21,49,16,0,51,0
57,5,58,0,53,0
46,56,16,0,56,0
56,56,19,0,54,0
61,49,16,0,54,0
66,52,17,0,49,0
44,58,2,0,57,0
43,37,12,0,48,1
45,3,17,0,51,1
67,53,28,0,51,0
35,47,22,0,5,0
35,35,33,0,5,1
42,61,13,0,14,0
5,49,3,0,47,0
7,37,37,0,48,0
81,32,37,0,51,0
85,33,38,0,55,0
59,47,26,0,53,0
7,38,36,0,54,0
48,45,17,0,48,1
84,45,54,0,28,0
43,54,14,0,5,0
77,42,33,0,57,0
36,57,18,0,42,0
43,51,24,0,46,0
46,38,18,0,49,1
68,55,65,0,46,0
5,48,17,0,5,0
44,43,17,0,54,0
62,56,2,0,48,0
46,58,17,0,61,0
5,62,19,0,57,0
48,57,24,0,5,0
5,54,66,0,49,0
7,42,22,0,51,0
47,35,21,0,52,1
43,55,2,0,47,0
79,49,33,0,48,0
5,59,47,0,49,0
43,59,13,0,41,0
41,58,2,0,52,0
45,64,14,0,54,0
58,61,33,0,38,0
64,56,21,0,5,0
38,54,41,0,51,0
51,51,43,0,49,0
53,57,12,0,53,0
63,5,27,0,55,0
6,52,45,0,5,0
53,51,49,0,54,0
36,51,17,0,6,0
45,49,24,0,46,0
29,55,24,0,51,0
64,51,18,0,46,0
75,64,39,0,46,0
39,54,14,0,59,0
49,57,18,83,54,0
5,54,16,0,49,0
45,61,2,0,62,0
49,53,16,0,49,0
55,52,1,0,53,0
33,45,19,0,54,0
48,59,35,0,55,0
26,6,2,0,54,0
46,53,23,0,51,0
28,55,15,0,57,0
74,5,28,0,49,0
53,43,18,0,53,0
47,53,77,0,52,0
37,39,18,0,51,1
49,54,13,0,58,0
46,48,36,0,48,0
75,48,13,0,57,0
69,5,3,0,54,0
46,54,25,0,46,0
68,5,15,0,48,0
48,49,32,0,5,0
36,38,15,0,55,1
48,56,18,0,58,0
61,51,26,0,52,0
5,52,3,0,56,0
68,44,31,0,51,0
61,53,14,0,43,0
39,59,8,0,51,0
51,56,18,0,5,0
31,55,28,0,46,0
54,53,17,0,51,0
49,5,28,0,43,0
44,53,19,0,41,0
46,58,1,0,48,0
57,58,22,0,51,0
37,5,22,0,47,0
5,64,37,0,37,0
45,57,29,0,44,0
61,57,36,0,44,0
61,57,36,0,44,0
35,53,27,0,47,0
34,47,19,0,5,0
44,55,24,0,48,0
31,65,18,0,46,0
38,54,24,0,54,0
36,52,18,0,45,0
63,45,26,0,43,0
63,45,26,0,43,0
43,67,12,0,45,0
35,10,8,0,13,0
56,47,41,0,5,0
66,52,19,0,69,0
73,47,2,0,72,0
78,56,21,0,69,0
47,46,5,0,51,0
52,61,22,0,45,0
41,65,28,0,59,0
53,6,36,0,5,0
37,62,43,0,44,0
41,58,8,0,51,0
51,5,28,0,48,0
39,33,18,0,53,1
46,55,18,0,56,0
53,55,57,0,46,0
6,49,18,0,53,0
85,49,18,0,51,0
58,46,14,0,51,0
46,44,18,0,46,0
54,56,15,0,54,0
54,35,19,0,51,1
52,39,9,0,55,1
47,46,28,0,52,0
3,55,12,0,53,0
49,52,18,0,51,0
56,45,15,0,54,0
45,51,17,0,49,0
45,53,49,0,49,0
33,55,23,0,52,0
37,49,12,0,47,0
38,31,35,0,52,1
4,44,12,0,49,0
6,56,36,0,46,0
55,62,22,0,37,0
55,51,7,0,55,0
36,55,27,0,47,0
66,54,4,0,51,0
49,54,35,0,53,0
49,51,21,0,53,0
51,51,19,0,51,0
6,51,1,0,48,0
6,51,1,0,48,0
45,51,3,0,48,0
41,23,16,0,4,1
49,43,24,0,54,1
46,43,18,0,54,1
83,45,38,0,4,0
38,56,21,0,48,0
32,28,38,0,5,1
44,53,19,0,48,0
36,39,23,0,5,1
58,42,3,0,54,0
74,46,24,0,48,0
39,65,16,0,45,0
41,6,22,0,56,0
31,38,18,0,46,1
63,49,2,0,52,0
63,48,11,0,51,0
77,44,29,0,56,0
58,51,13,0,52,0
53,54,21,0,45,0
39,75,17,0,51,0
62,54,22,0,54,0
45,51,25,0,59,0
48,51,24,0,49,0
79,53,19,0,47,0
79,35,35,0,6,0
66,53,17,0,54,0
5,49,27,0,6,0
19,55,13,0,52,0
42,33,16,0,54,1
56,47,13,0,52,0
54,55,19,0,3,0
36,51,17,0,52,0
68,35,16,0,62,0
73,35,15,0,54,0
64,56,15,0,54,0
65,53,21,0,51,0
48,49,26,0,39,0
41,51,2,0,51,0
4,45,15,0,53,0
5,56,31,0,56,0
71,41,38,0,54,0
47,46,18,0,53,1
59,5,48,0,46,0
32,57,38,0,5,0
54,38,22,0,54,1
8,4,31,0,57,0
43,4,12,0,49,1
56,47,21,0,52,0
65,26,33,0,55,1
42,45,15,0,48,1
38,36,14,0,54,1
61,3,16,0,45,1
33,47,14,0,51,0
38,33,17,0,51,1
51,41,36,0,49,1
82,47,18,0,5,0
77,35,19,0,53,0
47,6,63,0,38,0
36,61,26,0,5,0
57,49,86,0,47,0
77,37,29,0,45,0
74,45,44,0,52,0
32,29,8,0,52,1
38,57,3,0,41,0
43,6,16,0,53,0
