Mcg, Alm, Mit, Pox, Class
54,56,15,0,0
54,35,19,0,1
52,39,9,0,1
47,46,28,0,0
3,55,12,0,0
49,52,18,0,0
56,45,15,0,0
45,51,17,0,0
45,53,49,0,0
33,55,23,0,0
37,49,12,0,0
38,31,35,0,1
4,44,12,0,0
6,56,36,0,0
55,62,22,0,0
55,51,7,0,0
36,55,27,0,0
66,54,4,0,0
49,54,35,0,0
49,51,21,0,0
51,51,19,0,0
6,51,1,0,0
6,51,1,0,0
45,51,3,0,0
41,23,16,0,1
49,43,24,0,1
46,43,18,0,1
83,45,38,0,0
38,56,21,0,0
32,28,38,0,1
44,53,19,0,0
36,39,23,0,1
58,42,3,0,0
74,46,24,0,0
39,65,16,0,0
41,6,22,0,0
31,38,18,0,1
63,49,2,0,0
63,48,11,0,0
77,44,29,0,0
58,51,13,0,0
53,54,21,0,0
39,75,17,0,0
62,54,22,0,0
45,51,25,0,0
48,51,24,0,0
79,53,19,0,0
79,35,35,0,0
66,53,17,0,0
5,49,27,0,0
19,55,13,0,0
42,33,16,0,1
56,47,13,0,0
54,55,19,0,0
36,51,17,0,0
68,35,16,0,0
73,35,15,0,0
64,56,15,0,0
65,53,21,0,0
48,49,26,0,0
41,51,2,0,0
4,45,15,0,0
5,56,31,0,0
71,41,38,0,0
47,46,18,0,1
59,5,48,0,0
32,57,38,0,0
54,38,22,0,1
8,4,31,0,0
43,4,12,0,1
56,47,21,0,0
65,26,33,0,1
42,45,15,0,1
38,36,14,0,1
61,3,16,0,1
33,47,14,0,0
38,33,17,0,1
51,41,36,0,1
82,47,18,0,0
77,35,19,0,0
47,6,63,0,0
36,61,26,0,0
57,49,86,0,0
77,37,29,0,0
74,45,44,0,0
32,29,8,0,1
38,57,3,0,0
43,6,16,0,0
